,69274433-70345552,196908262-196937230,19049822-20716660,131304839-132036965,70574871-71644041,97852156-98629015,67314736-68371045,35076296-35282086,41062669-41447005,194755-763411
Array.129,-1,0,0,1,1,0,1,2,-1,0
Array.34,0,0,0,-1,2,0,0,0,0,0
Array.67,0,-1,0,-1,0,0,-1,-1,0,0
Array.24,-1,0,0,-1,-1,-1,0,0,1,0
Array.22,0,0,1,-1,0,0,-1,0,0,0
Array.36,0,0,0,0,0,0,0,-1,-1,1
Array.49,-1,0,1,0,0,0,-1,2,-1,0
Array.16,-1,0,0,0,0,0,-1,2,-1,-1
Array.146,-1,0,0,0,0,0,0,0,0,0
Array.143,-1,1,0,0,0,0,-1,2,-1,1
Array.65,0,0,0,-1,0,0,-1,0,0,1
Array.62,1,1,1,0,0,0,1,0,1,0
Array.4,-1,-1,0,0,0,0,0,2,-1,-1
Array.76,-1,0,0,0,0,0,0,2,-1,-1
Array.118,0,0,1,0,0,0,0,0,0,1
Array.154,0,1,1,0,1,1,0,0,1,1
Array.48,0,0,0,0,1,1,0,1,1,0
Array.6,0,0,1,0,0,0,0,2,-1,0
Array.39,0,0,0,0,0,0,-1,0,0,0
Array.86,0,0,0,-1,0,0,-1,-1,0,0
Array.112,-1,1,0,-1,0,-1,0,-1,-1,0
Array.79,0,0,0,0,0,0,-1,2,-1,0
Array.124,1,1,0,0,1,1,1,0,0,1
Array.19,-1,0,0,0,0,0,1,2,-1,0
Array.27,0,0,0,0,0,0,-1,0,0,0
Array.106,0,0,1,0,1,1,-1,2,-1,1
Array.110,-1,-1,0,0,0,0,0,2,-1,0
Array.69,-1,-1,-1,-1,0,0,2,1,1,-1
Array.73,-1,0,0,0,0,0,0,2,0,0
Array.95,1,1,0,0,1,1,0,0,0,1
Array.98,1,1,1,-1,1,1,-1,0,0,1
Array.17,-1,0,0,2,0,0,-1,2,0,0
Array.33,0,0,0,0,1,0,1,-1,-1,-1
Array.138,-1,0,1,-1,1,1,0,2,-1,1
Array.149,-1,1,-1,-1,0,0,-1,1,1,0
Array.101,1,0,1,1,1,1,0,0,0,1
Array.90,0,1,0,0,0,0,0,-1,-1,0
Array.99,0,-1,0,0,0,0,1,0,0,-1
Array.57,0,1,1,1,0,0,0,0,0,0
Array.105,0,0,0,0,0,0,0,2,0,0
Array.85,-1,0,0,-1,0,0,-1,0,-1,0
Array.114,0,1,0,-1,0,-1,0,-1,-1,-1
Array.56,0,1,0,-1,0,0,-1,-1,-1,0
Array.5,0,0,1,1,0,0,0,-1,0,-1
Array.8,0,0,0,0,0,1,0,0,0,0
Array.113,0,0,-1,-1,0,0,0,0,0,-1
Array.148,0,1,1,0,0,0,0,2,-1,-1
Array.42,0,0,2,1,0,0,1,2,-1,1
Array.25,0,-1,0,0,-1,-1,-1,1,1,-1
Array.102,0,1,1,1,0,0,0,0,0,-1
Array.55,-1,-1,0,0,0,0,0,2,-1,1
Array.141,0,0,0,0,0,0,-1,0,0,0
Array.43,0,0,-1,-1,0,0,-1,0,0,0
Array.159,-1,-1,1,-1,-1,-1,0,-1,-1,-1
Array.52,0,1,0,-1,0,0,-1,-1,-1,0
Array.88,-1,0,1,-1,-1,-1,0,1,0,1
Array.125,0,0,0,0,0,0,0,2,0,0
Array.152,-1,0,0,1,1,1,-1,2,-1,0
Array.50,0,2,1,1,0,0,1,0,0,1
Array.23,-1,0,0,-1,1,1,0,1,1,1
Array.68,-1,0,0,0,0,0,-1,2,0,0
Array.94,0,0,0,-1,1,1,0,0,0,2
Array.153,-1,0,1,-1,-1,-1,-1,-1,-1,-1
Array.51,0,0,1,1,0,0,0,2,1,1
Array.142,1,1,1,0,1,1,1,1,1,1
Array.144,0,-1,1,0,0,0,0,2,-1,0
Array.37,0,0,0,0,0,0,0,0,0,0
Array.78,-1,0,0,0,0,0,0,2,-1,-1
Array.18,-1,0,0,-1,0,1,0,2,-1,0
Array.82,0,0,0,0,1,-1,0,0,-1,1
Array.75,-1,-1,0,0,0,-1,0,2,-1,-1
Array.139,0,0,0,0,0,0,-1,2,-1,0
Array.2,0,1,-1,-1,0,0,0,1,0,1
Array.117,0,0,0,-1,0,0,-1,0,0,0
Array.60,0,0,0,-1,0,0,-1,0,0,0
Array.38,-1,0,-1,-1,0,-1,0,-1,-1,0
Array.72,0,-1,0,0,0,0,0,2,0,1
Array.104,0,1,0,0,0,0,0,0,0,0
Array.137,0,0,0,0,0,0,-1,0,0,0
Array.145,-1,1,0,0,-1,-1,-1,0,0,0
Array.31,0,1,1,1,0,0,1,0,0,1
Array.135,0,0,1,1,0,0,0,0,0,0
Array.111,0,1,1,0,0,-1,1,0,0,1
Array.7,0,0,0,-1,0,0,0,-1,-1,0
Array.21,1,0,1,0,0,0,0,2,0,0
Array.53,-1,1,-1,0,0,0,-1,2,-1,0
Array.59,0,-1,-1,-1,0,0,0,0,0,-1
Array.71,-1,1,0,0,0,0,0,0,0,-1
Array.47,-1,1,0,0,0,0,0,0,0,-1
Array.107,-1,1,1,0,0,1,0,-1,0,0
Array.64,0,1,1,1,-1,0,0,0,0,-1
Array.89,0,0,0,0,0,0,0,0,0,0
Array.30,0,1,1,1,0,0,1,0,0,0
Array.35,0,1,0,0,0,0,-1,0,0,0
Array.93,-1,1,1,1,0,0,0,0,0,0
Array.10,0,0,0,1,0,0,0,2,-1,0
Array.123,0,1,1,-1,2,1,-1,0,0,0
Array.100,-1,0,0,0,0,0,0,0,0,0
Array.134,0,1,1,-1,1,1,-1,1,1,1
Array.130,-1,0,0,1,0,0,0,2,-1,-1
