"","apply(Filter_perClass, 1, mean)"
"V1",0.521990740740741
"V2",0.535807291666667
"V3",0.540943287037037
"V4",0.598126446759259
"V5",0.561125578703704
"V6",0.549189814814815
"V7",0.529803240740741
"V8",0.581922743055556
"V9",0.507486979166667
"V10",0.523871527777778
"V11",0.519097222222222
"V12",0.510199652777778
"V13",0.519422743055556
"V14",0.538375289351852
"V15",0.533275462962963
"V16",0.509693287037037
"V17",0.53587962962963
"V18",0.532986111111111
"V19",0.569245515046296
"V20",0.556640625
"V21",0.562138310185185
"V22",0.585322627314815
"V23",0.555230034722222
"V24",0.525752314814815
"V25",0.583043981481482
"V26",0.588107638888889
"V27",0.582175925925926
"V28",0.580439814814815
"V29",0.576244212962963
"V30",0.58130787037037
"V31",0.584780092592593
"V32",0.59302662037037
"V33",0.603732638888889
"V34",0.581018518518518
"V35",0.580295138888889
"V36",0.539152922453704
"V37",0.573875144675926
"V38",0.585177951388889
"V39",0.615559895833333
"V40",0.629304108796296
"V41",0.604636863425926
"V42",0.6171875
"V43",0.614293981481482
"V44",0.591145833333333
"V45",0.598234953703704
"V46",0.573061342592593
"V47",0.572392216435185
"V48",0.601978443287037
"V49",0.583912037037037
"V50",0.539641203703704
"V51",0.552155671296296
"V52",0.559461805555556
"V53",0.57298900462963
"V54",0.613100405092593
"V55",0.616608796296296
"V56",0.58470775462963
"V57",0.594798900462963
"V58",0.605342158564815
"V59",0.636320891203704
"V60",0.633174189814815
"V61",0.63404224537037
"V62",0.591254340277778
"V63",0.594672309027778
"V64",0.560366030092593
"V65",0.536928530092593
"V66",0.589192708333333
"V67",0.575900607638889
"V68",0.595359519675926
"V69",0.552083333333333
"V70",0.576099537037037
"V71",0.575810185185185
"V72",0.596788194444444
"V73",0.583333333333333
"V74",0.580584490740741
"V75",0.583695023148148
"V76",0.587311921296296
"V77",0.541956018518518
"V78",0.544415509259259
"V79",0.550347222222222
"V80",0.56568287037037
"V81",0.57494212962963
"V82",0.570601851851852
"V83",0.561921296296296
"V84",0.550636574074074
"V85",0.572337962962963
"V86",0.560763888888889
"V87",0.570475260416667
"V88",0.601707175925926
"V89",0.605613425925926
"V90",0.606336805555556
"V91",0.606047453703704
"V92",0.582465277777778
"V93",0.580439814814815
"V94",0.610532407407407
"V95",0.632468894675926
"V96",0.609429253472222
"V97",0.594672309027778
"V98",0.611617476851852
"V99",0.59912109375
"V100",0.622938368055555
"V101",0.638129340277778
"V102",0.647479021990741
"V103",0.632722077546296
"V104",0.609049479166667
"V105",0.59497974537037
"V106",0.583912037037037
"V107",0.579680266203704
"V108",0.593587239583333
"V109",0.572844328703704
"V110",0.597981770833333
"V111",0.597981770833333
"V112",0.564380787037037
"V113",0.580367476851852
"V114",0.573531539351852
"V115",0.563078703703704
"V116",0.559009693287037
"V117",0.588831018518518
"V118",0.577311197916667
"V119",0.616138599537037
"V120",0.566822193287037
"V121",0.580150462962963
"V122",0.570023148148148
"V123",0.552372685185185
"V124",0.557436342592593
"V125",0.560185185185185
"V126",0.560040509259259
"V127",0.553674768518518
"V128",0.551215277777778
"V129",0.555826822916667
"V130",0.567057291666667
"V131",0.555826822916667
"V132",0.552662037037037
"V133",0.551649305555556
"V134",0.560185185185185
"V135",0.561197916666667
"V136",0.563657407407407
"V137",0.540364583333333
"V138",0.524631076388889
"V139",0.544270833333333
"V140",0.548177083333333
"V141",0.553385416666667
"V142",0.55859375
"V143",0.565104166666667
"V144",0.555989583333333
"V145",0.549189814814815
"V146",0.558159722222222
"V147",0.57349537037037
"V148",0.572247540509259
"V149",0.543547453703704
"V150",0.553819444444445
"V151",0.565104166666667
"V152",0.535337094907407
"V153",0.563368055555556
"V154",0.558702256944444
"V155",0.573784722222222
"V156",0.563295717592593
"V157",0.575050636574074
"V158",0.563295717592593
"V159",0.56665943287037
"V160",0.5517578125
"V161",0.535807291666667
