"","Row.names","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"102","NM_001964","EGR1",565.777276820792,2.6924384319239,0.0776026120966873,34.6952036687801,9.30604249705451e-264,1.22783924706137e-259
"112","NM_002228","JUN",1148.85003780555,1.76963124790882,0.0590489718181403,29.9688748748911,2.49795315102189e-197,1.64789969372914e-193
"156","NM_004454","ETV5",390.633035442514,2.43191497762211,0.0823044628462175,29.5477899195581,7.01079334182049e-192,3.08334691173265e-188
"93","NM_001554","CYR61",547.367327685572,1.73786055168013,0.068029440973464,25.5457126622283,6.12726376621504e-144,2.02107795328603e-140
"20","NM_000963","PTGS2",155.226094546908,2.80965411347931,0.126888242562587,22.1427459056615,1.22539269367937e-108,2.80089684340195e-105
"101","NM_001946","DUSP6",175.759453627231,2.45706586831681,0.110973558800961,22.1410027295216,1.27371388967801e-108,2.80089684340195e-105
"144","NM_004040","RHOB",820.211605253942,1.0782408135783,0.0488178819554475,22.0870052199792,4.21424305073079e-108,7.94324611590601e-105
"98","NM_001901","CTGF",241.01666953188,1.55284145975428,0.0854029471766881,18.1825277825793,7.09850288624933e-74,1.17072058851467e-70
"168","NM_005252","FOS",177.153859098113,1.84251729001675,0.103571973147235,17.7897285725886,8.4890103769883e-71,1.24448892126648e-67
"154","NM_004431","EPHA2",511.267495012169,1.09136929496745,0.0643703128903835,16.9545438877382,1.78138377887007e-64,2.35035775784116e-61
"266","NM_080671","KCNE4",1153.36017679079,0.87696218382834,0.0533316122938745,16.4435715724474,9.32572690830533e-61,1.11857855298346e-57
"110","NM_002167","ID3",420.980223454504,-1.19622142876016,0.0728267312618773,-16.425581761437,1.25474632780307e-60,1.37959358741947e-57
"3","NM_000043","FAS",279.683404808503,1.34463447132568,0.0831636311871502,16.1685396865335,8.40674742725786e-59,8.53220196578771e-56
"108","NM_002133","HMOX1",79.3111893285781,2.83690255794004,0.1816837418633,15.6145097455915,5.79891362567424e-55,5.46506188408185e-52
"233","NM_018841","GNG12",169.998952804001,1.55183116700118,0.102719671424404,15.1074389694017,1.44653428290286e-51,1.27237155524136e-48
"251","NM_024753","TTC21B",660.230677640608,0.812212457329746,0.0540144415768151,15.0369500011341,4.2048156514583e-51,3.4673961065838e-48
"129","NM_003254","TIMP1",826.924622078335,0.796807069103979,0.0530245779749403,15.0271270330629,4.87703520579092e-51,3.7851530885415e-48
"121","NM_002852","PTX3",478.848885592633,0.987326814074459,0.0690338562192484,14.3020666691247,2.12406759767846e-46,1.55694154909831e-43
"240","NM_020799","STAMBPL1",167.720338459295,1.3528041729478,0.0972551644423951,13.9098440756746,5.51996535314766e-44,3.64152114347151e-41
"109","NM_002160","TNC",1155.67020375569,0.611401332865379,0.0455743579592079,13.415467825408,4.90825964872346e-41,2.94361717296624e-38
"274","NM_139276","STAT3",1462.3204441748,0.513377179636109,0.0384410200716698,13.354931234368,1.10860471546549e-40,6.35953505037029e-38
"206","NM_014331","SLC7A11",1985.54928241312,0.568053084473146,0.0429289311574011,13.2324068910626,5.7031326660658e-40,3.13529718316967e-37
"205","NM_014330","PPP1R15A",413.917865491768,0.902045225361759,0.0685440876470808,13.1600734115275,1.48941087055478e-39,7.86051481043993e-37
"63","NM_001252226","PLK2",1241.5250729129,0.807883566661008,0.0634198013127404,12.738664422443,3.60513559586853e-37,1.76170959451442e-34
"28","NM_001040619","ATF3",253.67330650422,1.00552046146375,0.0792824289664999,12.6827655833883,7.36853233857833e-37,3.4721577026858e-34
"81","NM_001300","KLF6",444.211137780163,0.782464957619745,0.0619686517079553,12.6267868680979,1.50290740977878e-36,6.83771047055904e-34
"282","NM_153690","FAM43A",394.694448024341,0.80593620339659,0.0639209725052883,12.6083219921273,1.89995210545108e-36,8.35598935977383e-34
"162","NM_004907","IER2",259.096557544908,0.97655154879287,0.0790422878787097,12.3547986147793,4.58903895468428e-35,1.89211812400326e-32
"190","NM_006516","SLC2A1",648.968679559133,0.630097986598462,0.0509912005159258,12.356994544611,4.46541642571793e-35,1.89211812400326e-32
"288","NM_181784","SPRED2",612.671284441464,0.697790855311404,0.0570107779896479,12.2396304684372,1.90899786601282e-34,7.63252055884034e-32
"79","NM_001293290","SPRY4",44.3351607378766,2.73459648407383,0.228053916181233,11.9910086608671,3.96052812235377e-33,1.53691788371575e-30
"13","NM_000599","IGFBP5",792.924958206826,-0.699988936101989,0.0589969584416039,-11.8648309097976,1.80266314014163e-32,6.79552499172246e-30
"36","NM_001136528","SERPINE2",1116.05145543966,0.601930832293637,0.0509592730111037,11.8119980275716,3.38422173657981e-32,1.2403172664565e-29
"252","NM_025081","NYNRIN",1082.64615967782,-0.598601176263349,0.0509693846617529,-11.744328094911,7.55203344914408e-32,2.62214550863176e-29
"143","NM_003999","OSMR",1173.000920225,0.571773954828403,0.0492559371828795,11.6082240544018,3.74309067487402e-31,1.2346584591072e-28
"14","NM_000602","SERPINE1",72.0893730994991,1.79629518611555,0.156541103616374,11.4749107079098,1.76359636253332e-30,5.54021200172966e-28
"242","NM_021158","TRIB3",600.724061304033,0.603759414282501,0.0526942756641809,11.4577799328762,2.14954156019886e-30,6.59559333610787e-28
"223","NM_016639","TNFRSF12A",116.022677256588,1.42528935779408,0.124751301386506,11.4250460071614,3.13489546820052e-30,9.40041154714494e-28
"113","NM_002229","JUNB",292.121732098309,0.866947427484511,0.0767508049444433,11.2956134872078,1.3793746511487e-29,4.044326477168e-27
"145","NM_004073","PLK3",100.175106141202,1.45354209500413,0.128800941991921,11.2851821774355,1.55319458785087e-29,4.45496725915314e-27
"324","NR_135789","RSRP1",908.488600576225,-0.525545652045003,0.0482836135489384,-10.8845550988501,1.36563824320866e-27,3.83366616614789e-25
"122","NM_002928","RGS16",168.384242288953,1.11866408574152,0.103606418125638,10.7972469850755,3.54678862130627e-27,9.7492352228156e-25
"17","NM_000757","CSF1",358.347130039381,0.892278627259462,0.0837151831632433,10.658504151147,1.59136298173626e-26,4.28498840429147e-24
"193","NM_006931","SLC2A3",112.849753833521,1.27143552893698,0.119604310388305,10.6303487291484,2.15305878516452e-26,5.68149152229212e-24
"12","NM_000584","CXCL8",40.1935943724861,3.03363285339822,0.285748468481354,10.6164448387802,2.49897996978773e-26,6.4650081806626e-24
"247","NM_024111","CHAC1",361.080901232069,0.709270659021889,0.0681768619317097,10.4033925722827,2.39259908501436e-25,6.07076006301529e-23
"275","NM_139314","ANGPTL4",204.363217393574,0.890902577904412,0.0859903670307954,10.3604927931678,3.75024856890011e-25,9.33599615435246e-23
"221","NM_016201","AMOTL2",633.146033890799,0.575876604180578,0.0558841804929578,10.3048232809488,6.70147324319654e-25,1.63739329575435e-22
"171","NM_005345","HSPA1A",365.879138745041,0.751786602206296,0.0731877226842744,10.2720316281658,9.41996723386787e-25,2.21941156577951e-22
"107","NM_002089","CXCL2",37.1623890281556,2.45641532180501,0.241986139740344,10.1510579260481,3.27790579554574e-24,7.58748930990009e-22
"104","NM_001986","ETV4",57.4036128900764,1.83570634864091,0.180912194095512,10.1469464665923,3.4189365517763e-24,7.77749118347181e-22
"120","NM_002826","QSOX1",544.476831309842,0.573586400066221,0.0565661618367586,10.1400975678976,3.6673311049142e-24,8.20114688105728e-22
"88","NM_001330450","MAP2K6",651.315571104624,-0.697486975383168,0.0688764151365446,-10.1266445705751,4.20843693345607e-24,9.25435281666989e-22
"177","NM_005475","SH2B3",785.615072276844,0.534954107036468,0.0528374915821845,10.1245174783589,4.3009481935713e-24,9.30273942065241e-22
"45","NM_001159920","FLT1",46.8462113738856,2.04496968765475,0.202175411485183,10.1148288638682,4.74846153973833e-24,1.01050325089206e-21
"80","NM_001293294","MYEOV",715.159635004334,0.51970844879594,0.0516080129673785,10.0703053443357,7.47456676529713e-24,1.56538783970366e-21
"172","NM_005346","HSPA1B",394.803079331823,0.670108293990409,0.0666189044278245,10.0588308941107,8.39897904572024e-24,1.73150202389426e-21
"181","NM_005842","SPRY2",123.660345434,1.08896883848822,0.110926314382376,9.81704696988687,9.50882146084105e-23,1.9301444669898e-20
"91","NM_001423","EMP1",395.413916471355,0.742102436172274,0.0756061335490605,9.8153734536726,9.66793410153368e-23,1.9327079172066e-20
"176","NM_005438","FOSL1",35.7669228840384,2.27877141020716,0.236876133147121,9.62009713655633,6.57690253277519e-22,1.25761814518023e-19
"208","NM_014391","ANKRD1",128.302896434031,1.05815126884202,0.11005804721255,9.61448340800072,6.94571188936864e-22,1.30916746669043e-19
"227","NM_018286","TMEM100",263.267940459666,0.828902961090797,0.0865580833521732,9.57626288602411,1.00619975137147e-21,1.86983091825285e-19
"64","NM_001254738","RND3",322.92652419535,0.711653602318437,0.0743427828485461,9.57259837539635,1.04252017368471e-21,1.91041821827722e-19
"117","NM_002506","NGF",70.9839936666053,1.39534732874719,0.147506878467339,9.45954075664441,3.09298622082333e-21,5.51471083750581e-19
"210","NM_014421","DKK2",334.702798023631,0.693658254673981,0.0736763248802167,9.41494103841002,4.73347990805353e-21,8.32713785424777e-19
