,gene,minusAB_1,minusAb_2,minusAb_3,minusAb_4,minusAb_5,plusAb_1,plusAb_2,plusAb_3,plusAb_4,plusAb_5
NM_001080539,CCDC150,256,221,218,163,161,159,155,220,223,226
NM_152611,LRRN4,1,2,2,5,5,2,3,3,6,3
NR_046285,LOC100130744,26,44,26,17,15,29,19,22,24,27
NM_000226,KRT9,2,2,1,1,0,2,6,4,4,2
NM_017612,ZCCHC8,527,545,530,497,457,411,387,597,612,652
NR_049859,MIR5680,0,0,0,0,0,0,0,0,0,0
NR_135762,RPS9,4569,4458,4665,4411,4216,3397,3388,4607,5240,4998
NM_001289103,PRKCSH,4306,4405,4270,3661,3415,3138,2943,4002,4611,4427
NM_001190259,GCSAM,0,0,0,0,0,0,0,0,1,0
NM_138426,GLCCI1,116,127,133,110,101,74,71,90,105,138
NR_135776,SULT1C4,1,0,0,1,0,0,0,0,3,0
NR_029860,MIR367,0,0,0,0,0,0,0,0,0,0
NM_021134,MRPL23,531,552,500,468,431,377,382,482,635,549
NM_001271458,COLCA2,0,2,4,3,1,0,0,1,1,2
NR_024059,MIMT1,0,0,0,0,0,0,0,0,0,0
NR_138053,ZNF431,279,274,250,231,194,172,155,256,228,221
NM_001164811,PET117,265,296,261,225,220,228,199,296,347,313
NR_036537,RAB6C-AS1,4,7,4,6,1,1,7,0,6,5
NM_001070,TUBG1,945,957,930,864,785,659,659,840,1037,927
NR_027065,LINC00114,1,0,0,0,0,0,0,0,0,0
NM_005319,HIST1H1C,79,73,89,106,87,83,92,76,91,72
NM_020461,TUBGCP6,445,513,432,402,344,268,283,402,395,389
NM_001004713,OR1I1,0,0,0,0,0,0,0,0,0,0
NR_037853,ATP6V1G2-DDX39B,5328,5444,5114,4802,4380,4082,3862,5293,6000,5748
NR_004435,SNAR-A1,0,0,0,0,0,0,0,0,0,0
NR_110694,LINC01782,2,1,2,2,2,2,1,1,0,0
NR_138541,LOC100132735,1,0,1,0,0,0,0,0,0,0
NM_003461,ZYX,891,1078,984,850,775,993,876,1187,1452,1281
NM_001007189,IGIP,53,66,52,60,49,26,29,44,39,37
NR_003078,SNORD110,10,13,15,10,5,9,11,10,10,7
NM_145909,ZSCAN31,12,9,15,9,8,14,6,11,12,16
NR_038253,LOC100288637,134,145,120,127,90,68,83,107,132,137
NM_017662,TRPM6,2,2,2,0,3,2,3,2,4,3
NM_144588,ZFYVE27,225,220,179,201,193,183,148,254,251,269
NM_001127322,CBX5,4777,4837,4528,4249,3685,2866,2536,3737,4142,4153
NM_000631,NCF4,0,2,2,0,0,1,0,1,1,0
NR_131926,MEAT6,0,0,0,0,0,0,0,0,0,0
NM_003310,TSSC1,361,283,328,294,285,264,214,343,370,375
NM_003476,CSRP3,8,9,11,6,4,4,6,8,3,6
NM_001202234,NR4A1,170,193,151,126,140,145,161,240,242,237
NM_017801,CMTM6,760,707,704,626,653,434,398,673,765,734
NM_003645,SLC27A2,29,37,28,18,16,20,12,15,27,23
NR_110754,LOC101927284,0,0,0,0,0,0,0,0,0,0
NM_001271875,CUEDC1,383,389,360,325,317,262,269,354,389,400
NM_020818,UNC79,29,38,31,31,19,21,11,21,33,27
NM_207372,SH2D4B,0,3,0,0,0,0,0,0,2,1
NM_001300958,BSDC1,726,731,731,620,569,510,491,702,747,708
NM_001270989,EPGN,0,0,1,0,0,1,0,1,0,2
NM_001282356,SLC26A7,61,54,76,60,45,35,30,41,54,48
NR_073010,PTCHD1-AS,0,1,0,0,0,0,0,0,0,0
NM_005576,LOXL1,255,422,347,314,309,226,180,258,346,344
NM_006138,MS4A3,0,0,0,0,0,0,0,0,0,0
NM_016541,GNG13,0,0,0,0,0,0,0,0,0,0
NM_005797,MPZL2,0,0,0,1,0,0,0,0,1,1
NR_106852,MIR6794,0,0,0,0,0,0,0,0,0,0
NR_001591,TPTEP1,83,84,93,79,72,67,75,96,91,92
NM_001199279,CHRNA6,0,0,0,0,0,0,0,0,0,0
NM_182658,BPIFB3,0,0,0,0,0,0,0,0,0,0
NR_135199,FAM78B,5,7,3,8,5,5,2,3,4,2
NR_027264,GLG1,4898,5036,4680,3975,3995,3290,3033,4521,4879,4885
NM_001282492,C6orf229,0,0,0,0,0,0,0,0,0,0
NM_001135733,TP53INP1,154,142,133,123,110,103,82,152,142,142
NM_021975,RELA,691,711,603,606,547,493,464,664,773,769
NR_027686,LINC00176,18,15,12,13,9,10,17,15,12,16
NR_105018,LOC101929380,0,0,0,0,0,0,0,0,0,0
NR_132320,LOC102723780,0,0,0,0,0,0,0,0,0,0
NM_183421,FBXO25,34,37,35,42,34,42,33,41,47,46
NM_032131,ARMC2,76,73,79,70,84,35,47,60,60,71
NM_198562,C3orf62,24,26,30,30,23,22,18,19,21,26
NM_001318018,APOA1,1,2,0,1,1,0,0,1,3,2
NR_002955,SNORA14A,0,0,0,0,0,0,0,0,0,0
NR_135222,LINC02003,0,0,0,0,0,0,0,0,0,0
NR_030220,MIR516A1,0,0,0,0,0,0,0,0,0,0
NM_001271750,C5AR2,0,0,0,0,0,0,0,0,0,0
NR_110788,DSG1-AS1,0,0,0,0,0,0,0,0,0,0
NM_014624,S100A6,2354,2999,3163,3062,3123,2987,2818,4300,5125,4781
NM_022750,PARP12,128,118,86,119,119,103,91,132,172,155
NR_122111,LINC01296,15,15,9,8,13,9,9,15,17,17
NR_106731,MIR6083,0,0,0,0,0,0,0,0,0,0
NM_033253,NT5C1B,0,0,0,0,0,0,0,0,0,0
NM_001037340,PDE4B,124,102,105,127,111,95,76,110,132,107
NM_001308342,CNN1,30,13,17,18,22,19,16,20,27,27
NM_019616,F7,0,1,0,0,0,2,2,1,3,0
NM_001130677,EPOP,276,262,245,206,242,201,187,275,349,288
NR_120367,LINC01583,0,0,0,0,0,0,0,0,0,1
NM_145719,TIGD3,16,20,17,17,16,12,9,14,12,18
NR_049861,MIR5682,0,0,0,0,0,0,0,0,0,0
NM_001037165,FOXK1,533,620,549,479,444,391,403,559,630,588
NM_016551,TM7SF3,1085,1045,1073,885,936,706,678,1047,1133,1170
NM_022828,YTHDC2,699,640,622,579,490,403,386,595,610,579
NM_001318828,CD200,1,1,2,2,1,0,3,4,4,2
NM_012369,OR2F1,0,0,0,0,0,0,0,0,0,0
NR_031668,MIR1265,0,0,0,0,0,0,0,0,0,0
NR_027060,FLJ34503,0,2,0,0,0,0,0,0,1,0
NM_001112736,FAM208A,657,684,632,589,549,419,409,545,649,596
NM_170754,TNS2,261,389,341,348,311,248,219,315,344,383
NR_130711,CCER1,0,0,0,0,0,0,0,0,0,0
NM_176821,NLRP10,0,0,0,0,0,0,0,0,0,0
NM_052970,HSPA12B,0,0,0,0,0,0,2,1,2,0
NM_004976,KCNC1,0,1,0,0,0,1,0,3,1,0
NR_130726,LINC00243,3,2,2,1,3,2,3,3,1,0
NR_015353,LINC01278,230,233,202,183,175,145,156,223,199,220
NM_018640,LMO3,244,205,201,197,164,162,124,149,211,215
NR_106869,MIR6811,0,0,0,0,0,0,0,0,0,0
NM_003709,KLF7,215,266,263,212,212,188,165,263,271,250
NM_207320,OTUD6A,0,0,0,0,0,0,0,0,0,0
NM_020857,VPS18,260,347,331,316,269,201,195,282,311,328
NM_003357,SCGB1A1,0,0,0,0,0,0,0,0,0,0
NR_024361,FAM86B3P,7,4,11,4,6,4,13,8,4,11
NM_001291381,PRAMEF33P,0,0,0,0,0,0,0,0,0,0
NM_001037499,DEFB114,0,1,0,0,0,0,0,0,0,0
NR_027467,LIMS3,0,0,0,0,0,0,0,0,0,0
NR_024271,SEPT7P2,56,57,53,48,50,41,41,58,62,67
NM_001321387,PTN,886,1109,1070,980,1088,654,679,904,1103,1112
NM_000286,PEX12,130,132,140,115,106,96,69,119,113,124
NM_032740,SFT2D3,173,172,140,126,115,112,111,170,128,188
NM_002581,PAPPA,2787,2975,2743,2378,2178,2399,2090,3308,3206,3262
NM_015414,RPL36,5115,5079,5439,5228,4659,3981,4013,5624,6423,5739
NM_001300900,MRPS34,1023,1031,1057,1050,913,756,678,897,1177,1073
NM_001330320,SNX11,221,204,223,189,184,144,145,188,210,229
NM_000730,CCKAR,1,0,1,0,2,0,0,2,0,1
NM_001286352,OLFML3,7875,7602,7152,6262,6249,4861,4577,6584,7795,7523
NM_001804,CDX1,0,1,0,0,2,1,0,2,2,1
NM_133267,GSX2,0,0,0,0,0,0,0,0,0,0
NM_001126128,PROK2,53,45,44,37,36,46,37,49,51,53
NR_134919,MST1R,0,3,1,1,0,1,0,1,0,1
NM_031297,RNF208,61,75,79,58,75,48,30,35,73,50
NR_130764,NKAIN3,0,0,0,0,0,0,0,0,0,0
NR_039676,MIR4466,0,0,0,0,0,0,0,0,0,0
NM_021815,SLC5A7,0,1,1,0,1,0,1,0,1,0
NM_003206,TCF21,0,0,0,0,0,0,0,0,0,0
NM_001005516,OR5K3,0,0,0,0,0,0,0,0,0,0
NM_022061,MRPL17,1018,927,1028,1005,918,734,750,1026,1218,1069
NM_020063,BARHL2,179,159,189,165,134,107,84,151,163,168
NM_207374,OR10W1,0,0,0,0,0,0,0,0,0,0
NM_006872,GTF2A1L,0,0,0,1,1,0,0,1,1,0
NR_075091,SOX2-OT,23,13,13,18,15,11,13,17,16,17
NM_021626,SCPEP1,627,708,625,557,564,519,452,647,855,767
NM_001284259,KIF20B,583,535,484,429,416,358,319,484,565,578
NM_001638,APOF,0,0,0,0,0,0,0,1,0,0
NR_073493,PEX11B,248,256,256,194,232,135,123,172,244,229
NM_006547,IGF2BP3,1068,1018,893,825,808,734,653,944,1046,1100
NM_030625,TET1,98,88,101,87,70,79,48,67,98,87
NM_001130852,CBLC,0,0,0,0,0,0,0,0,0,0
NR_030346,MIR616,0,0,0,0,0,0,0,0,0,1
NR_110587,LOC643072,43,45,36,40,29,37,29,33,30,42
NM_152435,AMDHD1,9,5,6,3,4,5,4,5,8,6
NM_014681,DHX34,509,492,464,435,393,390,337,429,515,490
NM_001018081,KIR2DL5B,0,0,0,0,0,0,0,0,0,0
NM_015412,NEPRO,692,677,625,577,558,470,443,695,714,696
NM_033417,HAUS8,232,228,218,174,219,156,159,200,218,214
NM_001106,ACVR2B,362,395,314,294,260,224,217,292,313,329
NR_039820,MIR4673,0,0,0,0,0,0,0,0,0,0
NM_004314,ART1,0,0,0,0,0,0,0,0,0,0
NM_014205,ZNHIT2,88,95,88,71,78,78,75,86,132,97
NM_032369,HVCN1,46,41,33,30,36,27,26,41,57,44
NM_003943,STBD1,8,8,6,4,2,0,4,5,4,10
NM_001039362,ATP6V1C2,11,7,9,14,3,4,8,4,8,9
NM_145186,ABCC11,1,2,1,0,1,0,0,0,0,0
